id,user,text,timestamp,in_reply_to,mentioned_users,reactions,total_reactions
1598631121.079900,U017E452YTA,<@U017E452YTA> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631121.079700,U017E205ZPA,<@U017E205ZPA> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631121.079500,U017E024811,<@U017E024811> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631121.079300,U017AK011LL,<@U017AK011LL> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631120.079100,U017ACMER3P,<@U017ACMER3P> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631116.071800,U016YT6FS69,<@U016YT6FS69> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631116.071600,U016YR3B70C,<@U016YR3B70C> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631116.071400,U016YR368E8,<@U016YR368E8> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631116.071200,U016YR35N2G,<@U016YR35N2G> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631115.070900,U016YR2PVB6,<@U016YR2PVB6> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631115.070600,U016YQPEDU4,<@U016YQPEDU4> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631115.070400,U016Y4634MS,<@U016Y4634MS> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631115.070200,U016XTFTULU,<@U016XTFTULU> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631115.070000,U016X84RAV9,<@U016X84RAV9> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631115.069800,U016WSQKPCL,<@U016WSQKPCL> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631115.069600,U016WKUSD5J,<@U016WKUSD5J> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631115.069400,U016W4S9ZGU,<@U016W4S9ZGU> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631114.069200,U016W05TXUL,<@U016W05TXUL> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631114.069000,U016VVA5S7N,<@U016VVA5S7N> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631114.068800,U016VTJACBW,<@U016VTJACBW> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631114.068600,U016VTDLG5S,<@U016VTDLG5S> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631114.068400,U016VFKJU0K,<@U016VFKJU0K> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631114.068100,U016V76ME4X,<@U016V76ME4X> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631114.067900,U016TPYEEBC,<@U016TPYEEBC> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631114.067700,U016T5QLA94,<@U016T5QLA94> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631114.067500,U016T0QSCMT,<@U016T0QSCMT> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631113.067200,U016SRX7V1R,<@U016SRX7V1R> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631113.067000,U016SRX1HEF,<@U016SRX1HEF> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631113.066800,U016SRWRM2P,<@U016SRWRM2P> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631113.066600,U016SRWLF3M,<@U016SRWLF3M> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631113.066200,U016SKSS8AW,<@U016SKSS8AW> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631112.066000,U016SKSLW9G,<@U016SKSLW9G> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631112.065500,U016SJF24PP,<@U016SJF24PP> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631112.065200,U016R8NL71T,<@U016R8NL71T> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631112.065000,U016R8NEW93,<@U016R8NEW93> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631112.064800,U016R8N9NKX,<@U016R8N9NKX> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631112.064500,U016R8N3A05,<@U016R8N3A05> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631111.064200,U016R8MQL4D,<@U016R8MQL4D> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631111.064000,U016R4HAMS6,<@U016R4HAMS6> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631111.063800,U016R4537V1,<@U016R4537V1> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631111.063600,U016R0Q31V1,<@U016R0Q31V1> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631110.063400,U016QSTSQQM,<@U016QSTSQQM> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631110.063200,U016QSG6Y4A,<@U016QSG6Y4A> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631110.063000,U016QLH0DFV,<@U016QLH0DFV> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631110.062800,U016QGJJM8B,<@U016QGJJM8B> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631110.062600,U016QFUSBRB,<@U016QFUSBRB> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631110.062400,U016QF0J6G3,<@U016QF0J6G3> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631110.062200,U016QF0FATC,<@U016QF0FATC> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631109.062000,U016Q5HFSF5,<@U016Q5HFSF5> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631109.061800,U016Q3TCF45,<@U016Q3TCF45> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631109.061600,U016Q3JK0RH,<@U016Q3JK0RH> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631109.061400,U016Q31RVT5,<@U016Q31RVT5> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631109.061200,U016Q0F66FM,<@U016Q0F66FM> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631108.061000,U016Q01RH5H,<@U016Q01RH5H> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631108.060800,U016PVCCZDG,<@U016PVCCZDG> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631108.060600,U016PNPMFSN,<@U016PNPMFSN> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631108.060400,U016PNNDFE1,<@U016PNNDFE1> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631108.060200,U016PEM9U5B,<@U016PEM9U5B> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631108.060000,U016P59R9PG,<@U016P59R9PG> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631108.059800,U016NHHCE3F,<@U016NHHCE3F> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631108.059600,U016ND71JPP,<@U016ND71JPP> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631107.059400,U016MS3TBGE,<@U016MS3TBGE> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631107.059200,U016MASHCGN,<@U016MASHCGN> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631107.059000,U016M08G1M4,<@U016M08G1M4> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631107.058800,U016KTNEFTQ,<@U016KTNEFTQ> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631107.058500,U016KTN2V46,<@U016KTN2V46> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631107.058200,U016KTMLS14,<@U016KTMLS14> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631106.057600,U016JSFCANS,<@U016JSFCANS> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631106.057400,U016HR010LE,<@U016HR010LE> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631106.057200,U016HBVGSP8,<@U016HBVGSP8> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631106.057000,U016H45HV2S,<@U016H45HV2S> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631106.056800,U016H35D04W,<@U016H35D04W> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631106.056600,U016G7SR31V,<@U016G7SR31V> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631106.056400,U016FDAC4LT,<@U016FDAC4LT> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631105.056200,U016DUE2US3,<@U016DUE2US3> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631105.056000,U016DN2FYQ7,<@U016DN2FYQ7> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631105.055800,U016DKFKRCP,<@U016DKFKRCP> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631104.055600,U016DH7MR8F,<@U016DH7MR8F> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631104.054900,U016BBRUNDV,<@U016BBRUNDV> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631104.054700,U016AMDF215,<@U016AMDF215> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631104.054500,U016A4S0PFZ,<@U016A4S0PFZ> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
1598631104.054300,U016A43FT0F,<@U016A43FT0F> has joined the channel,"Mon, 19 Jan 1970 12:03:51 GMT",,,,0
